NIL,pedigree,fastq_prefix,locus,ancestry_mismatch
Zv.0210_P1_P5_P1.1.1.1,Zv.0210_P1_P5_P1.1.1.1,Zv0210_P1_P5_P1111,hpc1,1
Zv.0480_P3_P1_P1.2.1.1,Zv.0480_P3_P1_P1.2.1.1,Zv0480_P3_P1_P1211,hpc1,1
Zx.0450_P1_P2_P2.1.1.1,Zx.0450_P1_P2_P2.1.1.1,Zx0450_P1_P2_P2111,hpc1,1
Zx.0440_P2_P5_P1.2.1.1,Zx.0440_P2_P5_P1.2.1.1,Zx0440_P2_P5_P1211,hpc1,1
Zl.0020_P3_P4_P3.5.1.1,Zl.0020_P3_P4_P3.5.1.1,Zl0020_P3_P4_P3511,hpc1,1
Zx.0560_P2_P3_P2.1.1.1,Zx.0560_P2_P3_P2.1.1.1,Zx0560_P2_P3_P2111,hpc1,1
Zx.0030_P2_P2_P1.2.1.1,Zx.0030_P2_P2_P1.2.1.1,Zx0030_P2_P2_P1211,hpc1,1
Zx.0090_P2_P5_P1.1.1.1,Zx.0090_P2_P5_P1.1.1.1,Zx0090_P2_P5_P1111,hpc1,1
Zv.0470_P2_P5_P1.2.1.1,Zv.0470_P2_P5_P1.2.1.1,Zv0470_P2_P5_P1211,hpc1,1
Zv.0140_P3_P3_P1.1.1.1,Zv.0140_P3_P3_P1.1.1.1,Zv0140_P3_P3_P1111,hpc1,1
Zl.0040_P4_P4_P2.4.1.1,Zl.0040_P4_P4_P2.4.1.1,Zl0040_P4_P4_P2411,tcptf9,1
Zl.0010_P1_P4_P1.4.1.1,Zl.0010_P1_P4_P1.4.1.1,Zl0010_P1_P4_P1411,tcptf9,1
Zx.0160_P2_P5_P1.2.1.1,Zx.0160_P2_P5_P1.2.1.1,Zx0160_P2_P5_P1211,tcptf9,1
Zx.0390_P2_P2_P1.1.1.1,Zx.0390_P2_P2_P1.1.1.1,Zx0390_P2_P2_P1111,tcptf9,1
Zd.0010_P3_P4_P2.3.1.1,Zd.0010_P3_P4_P2.3.1.1,Zd0010_P3_P4_P2311,tcptf9,1
